,category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
0,notebooks,Notebook Aiwa Cloudbook CA141-C Intel N4020 4Gb 128Gb 14 w11...,222449.0,venex,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,Aiwa,CA141-C,Intel Celeron N4020,4 Gigas,128Gb,2023-08-28 13:20:35
1,notebooks,Notebook Noblex Celeron N4020 4Gb 128Gb 14.1 HD W11,245459.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-celeron-n4020-4gb-128gb-14-1-hd-w11.html,Noblex,91N14X1000,Intel Celeron N4020,4 Gigas,128Gb,2023-08-28 13:20:35
2,notebooks,Notebook Lenovo Ideapad 3 14IGL05 Celeron N4020 4Gb 500Gb 14 HD...,268449.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-3-14igl05-celeron-n4020-4gb-500gb-14-hd-free.html,Lenovo,81WH0015AR,Intel Celeron N4020,4 Gigas,Compatible (No incluido),2023-08-28 13:20:35
3,notebooks,Lenovo Ideapad 1 14IGL05 Pentium N5030 4gb SSD 256Gb 14 HD Free,314489.0,venex,https://www.venex.com.ar//notebooks/lenovo-ideapad-1-14igl05-pentium-n5030-4gb-ssd-256gb-14-hd-free.html,Lenovo,81VU006RAR,Intel Pentium N5030,4 Gigas,256Gb,2023-08-28 13:20:35
4,notebooks,Notebook Noblex Core i3 1115G4 8Gb 256Gb 14.1 FHD W11,383519.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-core-i3-1115g4-8gb-256gb-14-1-fhd-w11.html,Noblex,91N14X3000,Intel Core i3 1115G4,8 Gigas,256Gb,2023-08-28 13:20:35
5,notebooks,Notebook Asus X515EA i3 1115G4 4Gb SSD 256Gb 15.6 FHD Free,394990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-4gb-ssd-256gb-15-6-fhd-free.html,Asus,90NB0TY1-M21910,Intel Core i3 1115G4,4 Gigas,256Gb,2023-08-28 13:20:35
6,notebooks,Notebook Asus X515EA i3 1115G4 8Gb SSD 256Gb 15.6 FHD Free,399990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-8gb-ssd-256gb-15-6-fhd-free.html,Asus,90NB0TY1-M21910+4GB,Intel Core i3 1115G4,8 Gigas,256Gb,2023-08-28 13:20:35
8,notebooks,Notebook Bangho Max L5 i3 1115G4 SSD 240Gb 8Gb 15.6 HD Free,498559.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i3-1115g4-ssd-240gb-8gb-15-6-hd-free.html,Bangho,G52P3KF6IFDC100,Intel Core i3 1115G4,8 Gigas,240Gb,2023-08-28 13:20:35
9,notebooks,Notebook Lenovo V15 i3 10110U 8Gb 1Tb 15.6 Free,499990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-i3-10110u-8gb-1tb-15-6-free.html,Lenovo,82NB002FAR,Intel Core i3 10110U,8 Gigas,Compatible (No Incluido),2023-08-28 13:20:35
10,notebooks,Notebook Bangho Max L4 i3 1115G4 SSd 240Gb 8Gb 14 HD Free,506239.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l4-i3-1115g4-ssd-240gb-8gb-14-hd-free.html,Bangho,G41P3KF6HFDC100,Intel Core i3 1115G4,8 Gigas,256Gb,2023-08-28 13:20:35
11,notebooks,Notebook Lenovo Ideapad 1 Ryzen 5 3500U 8Gb SSD 256Gb 14 Free,506239.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-1-ryzen-5-3500u-8gb-ssd-256gb-14-free.html,Lenovo,82R0006AAR,Intel None 3500U,8 Gigas,256Gb,2023-08-28 13:20:35
12,notebooks,Notebook Samsung Book 3 Core i3 8Gb 256Gb 15.6 Silver W11,506999.0,venex,https://www.venex.com.ar//notebooks/notebook-samsung-book-3-core-i3-8gb-256gb-silver-w11.html,Samsung,NP750XFG'KB3AR,Intel Core i3 1315U,8 Gigas,256Gb,2023-08-28 13:20:35
13,notebooks,Notebook Lenovo V15 i3 10110U 8Gb 1Tb SSD M.2 240Gb 15.6 Free,509990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-i3-10110u-8gb-1tb-ssd-m-2-240gb-15-6-free.html,Lenovo,Not Found,Intel Core i3 10110U,8 Gigas,240Gb,2023-08-28 13:20:35
14,notebooks,Notebook Lenovo V15 G2 Ryzen 3 5300U 8Gb 1Tb 15.6  FHD Free,519990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-3-5300u-8gb-1tb-15-6-fhd-free.html,Lenovo,82KD00CBAR,Intel None 5300U,8 Gigas,8 Gigas,2023-08-28 13:20:35
15,notebooks,Notebook Dell Inspiron 3511 i3 1115G4 4Gb SSD 256Gb 15.6 Free,521589.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i3-1115g4-4gb-ssd-256gb-15-6-free.html,Dell,I3511_I34256BUBS_522,Intel Core i3 1115G4,4 Gigas,256Gb,2023-08-28 13:20:35
16,notebooks,Notebook Dell Inpiron 3511 Core i3 1115G4 SSD 256Gb 8Gb 15.6...,529249.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inpiron-3511-core-i3-1115g4-ssd-256gb-8gb-16-6-free.html,Dell,Not Found,Intel Core i3 1115G4,8 Gigas,256Gb,2023-08-28 13:20:35
17,notebooks,Notebook Lenovo V15 G2 Ryzen 3 5300U 8Gb 1Tb SSD M2 240Gb 15.6...,529990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-3-5300u-8gb-1tb-ssd-m2-240gb-15-6-free.html,Lenovo,82KD00CBAR,Intel None 5300U,8 Gigas,240Gb,2023-08-28 13:20:35
18,notebooks,Notebook Lenovo Ideapad 3 14IML05 i5 10210U 8Gb SSD 256gb 14...,536929.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-3-14iml05-i5-10210u-8gb-ssd-256gb-14-w11.html,Lenovo,81WA00R7AR,Intel Core i5 10210U,8 Gigas,256Gb,2023-08-28 13:20:35
19,notebooks,Notebook Bangho Max L4 i5 115567 SSD 240Gb 8gb 14 HD Free,544589.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l4-i5-115567-ssd-240gb-8gb-14-hd-free.html,Bangho,G41Q5JF6HFDC100,Intel Core i5 1155G7,8 Gigas,240Gb,2023-08-28 13:20:35
20,notebooks,Notebook Bangho Max L5 Intel Core I5 1135G7 8Gb SSD 240Gb 15.6...,552269.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-intel-core-i5-1135g7-8gb-ssd-240gb-15-5-free.html,Bangho,G52P5JF6IFDC100,Intel Core i5 1135G7,8 Gigas,240Gb,2023-08-28 13:20:35
21,notebooks,"Notebook Asus X515EA i5 1135G7 8Gb SSD 256Gb 15.6"" Free",559990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i5-1135g7-8gb-ssd-512gb-15-6-free.html,Asus,90NB0TY1-M013N0,Intel Core i5 1135G7,8 Gigas,256 Gb,2023-08-28 13:20:35
22,notebooks,Notebook Lenovo V15 G2 i3 1115G4 8Gb 1Tb 15.6 FHD Free,569990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i3-1115g4-8gb-1tb-15-6-free.html,Lenovo,82KB0152AR,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-08-28 13:20:35
23,notebooks,Notebook Lenovo Ideapad 1 Ryzen 7 3700U 8Gb SSD 512Gb 15.6 Free,575289.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-1-ryzen-7-3700u-8gb-ssd-512gb-14-free.html,Lenovo,82R1009YAR,Intel None 3700U,8 Gigas,256Gb,2023-08-28 13:20:35
24,notebooks,Notebook Bangho Max L5 Intel Core i5 1135G7 SSD 240Gb 8Gb 15.6...,582949.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-intel-core-i5-1135g7-ssd-240gb-8gb-15-6-w11.html,Bangho,G52P5JF6I1DC100,Intel Core i5 1135G7,8 Gigas,240,2023-08-28 13:20:35
25,notebooks,Notebook Lenovo V15 G2 i3 1115G4 8Gb 1Tb SSD M2 240Gb 15.6 Free,589990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i3-1115g4-8gb-1tb-ssd-m2-240gb-15-6-free.html,Lenovo,82KB0152AR+,Intel Core i3 1115G4,8 Gigas,240Gb,2023-08-28 13:20:35
26,notebooks,Notebook Bangho Max L5 i7 1165G7 SSD 480Gb 8Gb 15.6 FHD Free,605949.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l15-i7-1165g7-ssd-580gb-8gb-15-6-fhd-free.html,Bangho,G52P7IFE5FDC100,Intel Core i7 1165G7,8 Gigas,480Gb,2023-08-28 13:20:35
27,notebooks,Notebook Bangho Bes T4 Intel Core i5 1021U 8Gb SSD 240Gb 14...,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-bengho-bes-t4-intel-core-i5-1021u-8gb-ssd-240gb-14-free.html,Bangho,G42L5JFI4FDC230,Intel Core i5 1021U,8 Gigas,240Gb,2023-08-28 13:20:35
28,notebooks,Notebook Dell Inspiron 3525 AMD Ryzen 5 5500U 8Gb SSD 256Gb...,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3525-amd-ryzen-5-5500u-8gb-ssd-256gb-15-6-w11.html,Dell,2DJ8R,Intel None 5500U,8 Gigas,256Gb,2023-08-28 13:20:35
29,notebooks,Notebook HP 15-DY2054LA  i5 1135G7 8Gb SSD 256Gb 15.6 W11,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,HP,3A8V8LA#AC8,Intel Core i5 1135G7,8 Gigas,256Gb,2023-08-28 13:20:35
30,notebooks,"Notebook Asus X515EA i7 1165G7 8Gb SSD512Gb 15.6"" FHD Free",649990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-free.html,Asus,90NB0TY1-M011U0,Intel Core i7 1165G7,8 Gigas,512 Gb,2023-08-28 13:20:35
31,notebooks,Notebook Dell Inspiron 3520 Intel Core i5 1135G7 8Gb SSD 256Gb...,653519.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3520-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,Dell,VPYJY,Intel Core i5 1135G7,8 Gigas,256Gb,2023-08-28 13:20:35
32,notebooks,Notebook HP 15TDW300 Intel Core i5 1135G7 8Gb SSD 256Gb 15.6 HD...,659649.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-15tdw300-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,HP,IA3Y3AV,Intel Core i5 1135G7,8 Gigas,256Gb,2023-08-28 13:20:35
33,notebooks,Notebook Dell Inspiron 3511 i5 1135G7 8Gb SSD 256Gb 15.6 Free,667329.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-8gb-ssd-256gb-15-6-free.html,Dell,6NGMJ,Intel Core i5 11355G7,8 Gigas,256 Gb,2023-08-28 13:20:35
34,notebooks,Notebook Bangho Max L5 i7 1165G7 SSD 480Gb 8Gb 15.6 FHD W11,674999.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i7-1165g7-ssd-480gb-8gb-15-6-fhd-w11.html,Bangho,G52P7IFE51DC100,Intel Core i7 1165G7,8 Gigas,480Gb,2023-08-28 13:20:35
35,notebooks,Notebook Asus X515EA i7 1165G7 8Gb W SSD 512Gb 15.6 W11,689990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-w11.html,Asus,90NB0TY1-M013M0,Intel Core i7 1165G7,8 Gigas,512 Gb,2023-08-28 13:20:35
36,notebooks,Notebook Dell Inspiron 3511 i5 1135G7 16Gb SSD 256Gb 15.6 Free,690329.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-16gb-ssd-256gb-15-6-free.html,Dell,I3511_I58256BUBS_522+8GB,Intel Core i5 11355G7,16 Gigas,256 Gb,2023-08-28 13:20:35
37,notebooks,Notebook HP Pavilon i5 1135G7 8Gb SSD 256Gb + 16Gb Optane 13...,690329.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-pavilon-i5-1135g7-8gb-ssd-256gb-16gb-optane-13-fhd-w11.html,HP,310D7LA#AC8,Intel Core i5 1135G7,8 Gigas,256Gb,2023-08-28 13:20:35
38,notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 8Gb SSD 256Gb 15.6 FHD...,729990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-8gb-ssd-256gb-15-6-fhd-free.html,Lenovo,82KD00CGAR,Intel None 5700U,8 Gigas,256Gb,2023-08-28 13:20:35
39,notebooks,Notebook Lenovo V15 G2 i5 1135G7 8Gb SSD 256Gb 15.6 Free,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-8gb-ssd-256gb-15-6-free.html,Lenovo,82KB00F6AR,Intel Core i5 1135G7,8 Gigas,256Gb,2023-08-28 13:20:35
40,notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 16Gb SSD 256Gb 15.6 FHD...,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-16gb-ssd-256gb-15-6-fhd-free.html,Lenovo,82KD00CGAR+8GB,Intel None 5700U,16 Gigas,256Gb,2023-08-28 13:20:35
41,notebooks,Notebook HP 15DY2033 Intel Core i7 1165G7 8Gb SSD 256Gb 15.6...,751689.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-intel-core-i7-1165g7-8gb-ssd-256gb-15dy2033-15-6-w11.html,HP,544Q3UA#ABA,Intel Core i7 1165G7,8 Gigas,256Gb,2023-08-28 13:20:35
42,notebooks,Notebook XPG Xenia 14 i5 1135G7 Iris XE SSD 512Gb NVME 16Gb 14...,759389.0,venex,https://www.venex.com.ar//notebooks/notebook-xpg-xenia-15-i5-1135g7-iris-xe-ssd-512gb-nvme-16gb-14-w10.html,XPG,XENIA,Intel Core i5 1135G7,16 Gigas,512Gb,2023-08-28 13:20:35
43,notebooks,Notebook Lenovo V15 G2 i5 1135G7 16Gb SSD 256Gb 15.6 Free,769990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-16gb-ssd-256gb-15-6-free.html,Lenovo,82KB00F6AR+8GB,Intel Core i5 1135G7,16 Gigas,256Gb,2023-08-28 13:20:35
44,notebooks,Notebook Lenovo L15 G3 Ryzen 5 5625U 8Gb SSD 256Gb 15.6 FHD...,789990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5625u-8gb-ssd-256gb-15-6-fhd-free.html,Lenovo,21C8S1C000,Intel None 5625U,8 Gigas,256Gb,2023-08-28 13:20:35
45,notebooks,Notebook ASUS Zenbook 14 UM425QA-KI164W Ryzen 5 5600H 8Gb SSD...,797739.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-um25-ryzen-5-5600h-8gb-ssd-512gb-14-w11.html,ASUS,90NB0TV1-M004F0,Intel None 5600H,8 Gigas,512Gb,2023-08-28 13:20:35
46,notebooks,Notebook Samsung Book 3 Core i5 1335u 8Gb 512Gb 15.6 FHD Silver...,805409.0,venex,https://www.venex.com.ar//notebooks/notebook-samsung-book-3-core-i5-8gb-512gb-silver-w11.html,Samsung,NP750XFG'KB2AR,Intel Core i5 1335U,8 Gigas,512Gb,2023-08-28 13:20:35
47,notebooks,Notebook Lenovo V15 G2 i7 1165G7 8Gb 1Tb 15.6 Free2,859990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-8gb-1tb-15-6-free.html,Lenovo,82KB00F7AR,Intel Core i7 1165G7,8 Gigas,Compatible (No Incluido),2023-08-28 13:20:35
48,notebooks,Notebook Lenovo V15 G2 i7 1165G7 16Gb 1Tb SSD 240Gb 15.6 Free,899990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-16gb-1tb-ssd-240gb-15-6-free.html,Lenovo,82KB00F7AR+8GB+SSD240GB,Intel Core i7 1165G7,16 Gigas,240Gb,2023-08-28 13:20:35
49,notebooks,Notebook Lenovo Thinkpad L15 G3 Ryzen 7 5825U 8Gb SSD 512Gb...,929990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5825u-8gb-ssd-512gb-15-6-fhd-free.html,Lenovo,21C8S1C100,Intel None 5825U,8 Gigas,512Gb,2023-08-28 13:20:35
51,notebooks,Notebook  Gamer ASUS TUF Gaming F15 FX506LHB-HN324W i5 10300H...,994109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fx506lhb-i5-10300h-ssd-512gb-8gb-gtx1650-15-6-144hz-w11.html,Gamer,90NR03U2-M00D20,Intel Core i5 10300H,16 Gigas,512Gb,2023-08-28 13:20:35
52,notebooks,Notebook Bangho Game Master 15Z12 i5 12500H 16Gb 1Tb GTX 1650...,994990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i5-12500h-16gb-1tb-gtx-1650-15-6-free.html,Bangho,G62S5JGU13XFXX5FXC20,Intel Core i5 12500H,16 Gigas,1Tb,2023-08-28 13:20:35
53,notebooks,Notebook Lenovo Thinkpad E14 G2 Core i7 1165G7 8Gb SSD 256Gb 14...,1058519.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-thinkpad-e14-g2-core-i7-1165g7-8gb-ssd-256gb-14-free.html,Lenovo,20TBS0EL00,Intel Core i7 1165G7,8 Gigas,256Gb,2023-08-28 13:20:35
54,notebooks,Notebook Bangho Game Master 15Z12 Core i5 12500H 16Gb SSD 1Tb...,1129990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12400h-16gb-ssd-1tb-rtx-3050-15-6-free.html,Bangho,G62S6JGU53XFXX6FXC20,Intel Core i5 12500H,16 Gigas,1Tb,2023-08-28 13:20:35
55,notebooks,Notebook Bangho Game MAster 15Z12 Core i5 12500H 16Gb 1Tb GTX...,1190990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12500h-16gb-1tb-gtx-1650-15-6-w11.html,Bangho,G62S5JGU13XFXX5HXC20,Intel Core i5 12500H,16 Gigas,1Tb,2023-08-28 13:20:35
56,notebooks,Notebook Gamer ASUS TUF Gaming A15 FA506ICB-HN118W Ryzen 7...,1276389.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fa506icb-hn118w-ryzen-7-4800h-16gb-ssd-512gb-rtx-3050-15-6-w11.html,Gamer,90NR0667-M00E30,Intel Ryzen 7 4800H,16 Gigas,512Gb,2023-08-28 13:20:35
57,notebooks,Notebook Bangho Game Master 15Z12 i7 12700H 32Gb SSD 2Tb RTX...,1449990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-free.html,Bangho,G62S7IHP63XFXX7FXC20,Intel Core i7 12700H,32 Gigas,2Tb,2023-08-28 13:20:35
58,notebooks,Notebook Apple Macbook AIR M1 13 8Gb 512Gb Silver,1457409.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-air-m1-13-8gb-512gb-silver.html,Apple,A2337,Intel None M1,8 Gigas,512Gb,2023-08-28 13:20:35
59,notebooks,Notebook Gigabyte G5 15 i5 12500H 16Gb SSD NVME 512Gb RTX 3060...,1499999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-g5-15-i5-12500h-16gb-ssd-nvme-512gb-rtx-3060-15-6-free.html,Gigabyte,G5,Intel Core i5 12500H,16 Gigas,512Gb,2023-08-28 13:20:35
61,notebooks,Notebook Gamer ASUS ROG Zephyrus G14 GA401IHR-K2053T IHR Ryzen...,1534109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-rog-zephyrus-ga401-ihr-ryzen-7-4800hs-16gb-512gb-1650-14-w10.html,Gamer,GA401IHR-K2053T,Intel None 4800H,16 Gigas,512Gb,2023-08-28 13:20:35
62,notebooks,Notebook Bangho Game Master 15Z12 Core i7 12700H 32Gb SSD 2Tb...,1569990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-w11.html,Bangho,G62S7IHP63XFXX7HXC20,Intel Core i7 12700H,32 Gigas,2tb,2023-08-28 13:20:35
63,notebooks,Notebook Apple MacBook Pro M1 13 Inches 8Gb 256Gb Space Grey,1603159.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-256gb-space-grey.html,Apple,A2338,Intel None M1,8 Gigas,256 Gb,2023-08-28 13:20:35
64,notebooks,Notebook Apple Macbook Pro M1 13 8Gb 512Gb Space Grey,1670669.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-512gb-space-grey.html,Apple,A2338,Intel None None,8 Gigas,512Gb,2023-08-28 13:20:35
65,notebooks,Notebook ASUS Zenbook Duo 14 UX482EGR-KA337W Core i7 1195G7...,1687519.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-ux482egr-ka337w-core-i7-1195g7-16gb-ssd-1tb-mx-450-14-w11.html,ASUS,90NB0S51-M07020,Intel Core i7 1195G7,16 Gigas,1Tb,2023-08-28 13:20:35
66,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3060P...,1999999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3060p-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
67,notebooks,Notebook Gigabyte Aorus 17G i7 11800H RTX 3070 16Gb SSD 512Gb...,2041919.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-17g-i7-11800h-rtx-3070-16gb-ssd-512gb-17-w10.html,Gigabyte,AORUS,Intel Core i7 11800H,16 Gigas,512Gb,2023-08-28 13:20:35
68,notebooks,Notebook Gigabyte Aero 5 KE4 i7 12700H 16Gb SSD 1Tb RTX 3060...,2100959.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-5-ke4-i7-12700h-16gb-ssd-1tb-rtx-3060-15-6-w10.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
69,notebooks,Notebook Gigabyte Aero 17 XE5 12700H 16Gb DDR5 NVME 1Tb + 1Tb...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-xe5-12700h-16gb-ddr5-nvme-1tb-1tb-rtx-3070ti-17-3-fhd-miniled-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16Gb DDR5,1Tb + 1Tb,2023-08-28 13:20:35
70,notebooks,Notebook Gigabyte Aorus 5 SE4 i7 12700H 16Gb SSD 512Gb RTX 3070...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-5-se4-i7-12700h-16gb-ssd-512gb-rtx-3070-15-6-240hz-w11.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,512Gb,2023-08-28 13:20:35
71,notebooks,Notebook Gigabyte Aorus 17 XE5 i7 12700H 16Gb SSD 1Tb RTX...,2278169.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-17-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
72,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3070Ti...,2362549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
73,notebooks,Notebook Gigabyte Aorus 15 XE4 i7 12700H 16Gb SSD NVME 1Tb RTX...,2430059.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-15-xe4-i7-12700h-16gb-ssd-nvme-1tb-rtx-3070ti-15-6-w10.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
74,notebooks,Notebook Gigabyte Aero XE5 i7 12700H 16Gb SSD 1Tb + 1Tb RTX...,2446919.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-xe5-i7-12700h-16gb-ssd-1tb-1tb-rtx-3070ti-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-08-28 13:20:35
75,notebooks,Notebook Gigabyte Aero 17 KE5 i7 12700H 16Gb SSD NVME 1Tb RTX...,2480689.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-ke5-i7-12700h-16gb-ssd-nvme-1tb-rtx-3060-17-3-uhd-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,1Tb,2023-08-28 13:20:35
